percent_human_body	element
65	Oxygen
18	Carbon
10	Hydrogen
3	Nitrogen
1.5	Calcium
1	Phosphorus
0.35	Potassium
0.25	Sulphur
0.15	Sodium
0.05	Magnesium
0.01	Fluorine
0.01	Chlorine
0.01	Manganese
0.01	Iron
0.01	Cobalt
0.01	Copper
0.01	Zinc
0.01	Selenium
0.01	Molybdenum
0.01	Iodine
0.001	Lithium
0.001	Aluminium
0.001	Silicon
0.001	Vanadium
0.001	Arsenic
0.001	Bromine
0.001	Strontium
0.001	Lead
0	Helium
0	Beryllium
0	Boron
0	Neon
0	Argon
0	Scandium
0	Titanium
0	Chromium
0	Nickel
0	Gallium
0	Germanium
0	Krypton
0	Rubidium
0	Yttrium
0	Zirconium
0	Nobelium
0	Technetium
0	Ruthenium
0	Rhodium
0	Palladium
0	Silver
0	Cadmium
0	Indium
0	Tin
0	Antimony
0	Tellurium
0	Xenon
0	Cesium
0	Barium
0	Lanthanum
0	Cerium
0	Praseodymium
0	Neodymium
0	Promethium
0	Samarium
0	Europium
0	Gadolinium
0	Terbium
0	Dysprosium
0	Holmium
0	Erbium
0	Thulium
0	Ytterbium
0	Lutetium
0	Hafnium
0	Tantalum
0	Tungsten
0	Rhenium
0	Osmium
0	Iridium
0	Platinum
0	Gold
0	Mercury
0	Thallium
0	Bismuth
0	Polonium
0	Astatine
0	Radon
0	Francium
0	Radium
0	Actinium
0	Thorium
0	Protactinium
0	Uranium
0	Neptunium
0	Plutonium
0	Americium
0	Curium
0	Berkelium
0	Californium
0	Einsteinium
0	Fermium
0	Mendelevium
0	Nobelium
0	Lawrencium
0	Rutherfordium
0	Dubnium
0	Seaborgium
0	Bohrium
0	Hassium
0	Meitnerium
0	Darmstadtium
0	Roentgenium
0	Ununbium
0	Ununtrium
0	Ununquadium
0	Ununpentium
0	Ununhexium
0	Ununseptium
0	Ununoctium
