	Protien	Hits
0	LOC_Os10g33080.1	8250
1	LOC_Os11g35840.1	8066
2	LOC_Os10g28600.1	7458
3	LOC_Os04g14570.1	7450
4	LOC_Os10g33130.1	7286
5	LOC_Os03g05720.1	6934
6	LOC_Os05g07820.1	6892
7	LOC_Os02g06120.1	6804
8	LOC_Os03g10420.1	6750
9	LOC_Os02g06210.1	6724
10	LOC_Os04g50660.1	6668
11	LOC_Os02g57800.1	6248
12	LOC_Os06g09880.1	6068
13	LOC_Os06g03530.1	5901
14	LOC_Os01g15840.1	5886
15	LOC_Os03g11360.3	5706
16	LOC_Os03g11360.1	5706
17	LOC_Os08g42840.1	5676
18	LOC_Os03g11340.1	5652
19	LOC_Os01g06900.1	5622
20	LOC_Os06g38830.1	5612
21	LOC_Os01g41750.1	5608
22	LOC_Os06g04830.1	5592
23	LOC_Os06g47570.1	5536
24	LOC_Os01g04070.1	5518
25	LOC_Os07g14530.3	5482
26	LOC_Os07g14530.2	5482
27	LOC_Os07g14530.1	5482
28	LOC_Os05g19390.1	5444
29	LOC_Os11g35410.1	5438
30	LOC_Os06g04840.1	5434
31	LOC_Os06g04840.2	5434
32	LOC_Os07g20510.1	5426
33	LOC_Os02g17400.1	5392
34	LOC_Os01g06000.1	5340
35	LOC_Os02g12010.1	5326
36	LOC_Os06g04810.1	5296
37	LOC_Os02g12040.1	5290
38	LOC_Os04g40440.1	5274
39	LOC_Os03g40690.1	5238
40	LOC_Os04g39000.1	5228
41	LOC_Os10g02650.1	5212
42	LOC_Os03g11360.2	5178
43	LOC_Os04g55420.1	5132
44	LOC_Os10g35240.1	5112
45	LOC_Os10g35240.2	5112
46	LOC_Os10g35436.1	5078
47	LOC_Os10g38450.1	5070
48	LOC_Os04g52725.1	5055
49	LOC_Os12g11500.1	5036
50	LOC_Os02g51480.1	5019
51	LOC_Os08g19310.1	5008
52	LOC_Os07g40120.1	5004
53	LOC_Os12g11930.1	5000
54	LOC_Os12g27060.1	4992
55	LOC_Os01g42620.1	4984
56	LOC_Os01g42620.2	4984
57	LOC_Os03g05690.1	4982
58	LOC_Os01g41770.1	4974
59	LOC_Os04g58590.1	4962
60	LOC_Os11g35890.1	4934
61	LOC_Os06g38640.1	4926
62	LOC_Os12g11370.1	4920
63	LOC_Os12g11860.1	4908
64	LOC_Os03g28270.1	4896
65	LOC_Os03g50500.1	4882
66	LOC_Os10g35790.1	4868
67	LOC_Os09g25550.1	4846
68	LOC_Os03g06910.1	4846
69	LOC_Os04g28234.1	4842
70	LOC_Os04g28234.2	4842
71	LOC_Os01g57410.3	4838
72	LOC_Os01g06920.1	4838
73	LOC_Os01g05940.1	4838
74	LOC_Os07g46500.1	4838
75	LOC_Os01g57410.1	4838
76	LOC_Os12g10870.1	4838
77	LOC_Os01g57410.2	4838
78	LOC_Os07g46500.2	4838
79	LOC_Os07g11280.1	4832
80	LOC_Os07g11280.2	4832
81	LOC_Os11g43800.1	4818
82	LOC_Os02g06600.1	4812
83	LOC_Os05g19380.1	4810
84	LOC_Os02g37140.1	4802
85	LOC_Os02g37140.2	4802
86	LOC_Os12g11680.1	4802
87	LOC_Os04g28210.1	4800
88	LOC_Os01g06670.1	4790
89	LOC_Os03g11020.1	4782
